"","points_5","points_4","points_3","points_2","points_1"
"9394","Fairy Tern","North Island Brown Kiwi","New Zealand Dotterel","Bittern","Kererū"
"9395","Black Robin","Rifleman","Grey Warbler","Tomtit","Stitchbird"
"9396","Antipodean Albatross","Gibson's Albatross","Black-billed Gull","Chatham Island Mollymawk","Kākāpō"
"9397","Kea","Kākā","Kererū","Weka","Morepork"
"9398","Blue Duck","Morepork","Bittern","Orange-fronted Parakeet","Fernbird"
"9399","Yellow-eyed penguin","New Zealand Dotterel","Banded Dotterel","Black Robin","South Island Kōkako"
"9400","Blue Duck","Black Robin","Fantail","Southern Royal Albatross","New Zealand Falcon"
"9401","Yellow-eyed penguin",NA,NA,NA,NA
"9402","Antipodean Albatross","Banded Dotterel","Bar-tailed Godwit","Kea","Fernbird"
"9403","Grey Warbler","Saddleback","Stitchbird","Shining Cuckoo","Kōkako"
"9404","Kākā","Blue Duck","Antipodean Albatross","Banded Dotterel","Black Robin"
"9405","Saddleback","New Zealand Falcon","Yellow-eyed penguin","Kākā","Little Penguin"
"9406","Southern Royal Albatross","Yellow-eyed penguin","Royal Spoonbill","New Zealand Dotterel","Hutton's Shearwater"
"9407","Yellow-eyed penguin","Tūī","Morepork","Grey Warbler","Scaup"
"9408","New Zealand Robin","Bellbird","Tomtit","Black Robin","Southern Royal Albatross"
"9409","South Island Kōkako","Antipodean Albatross","Australasian Gannet","Chatham Island Mollymawk","Fiordland Crested Penguin"
"9410","Yellow-eyed penguin","South Island Kōkako","Rockhopper Penguin","Kererū","Tūī"
"9411","Bellbird","Kererū","Kingfisher","Morepork","Tūī"
"9412","Rifleman","Morepork","Tomtit","Bellbird","Blue Duck"
"9413","Takahē","Kākāpō","Harrier","Fantail","Kererū"
"9414","Yellow-eyed penguin","Shore Plover","Chatham Island Oystercatcher","Orange-fronted Parakeet","Fiordland Crested Penguin"
"9415","Fantail","Yellow-eyed penguin","Stitchbird","Black Robin","Kākā"
"9416","Fiordland Crested Penguin","Kea","Rockhopper Penguin","Little Penguin","Morepork"
