"","points_5","points_4","points_3","points_2","points_1"
"1","Yellow-eyed penguin","Kea","Tūī","Southern Royal Albatross","Southern Brown Kiwi"
"2","Yellow-eyed penguin","Kererū","Tūī","Saddleback","Rockhopper Penguin"
"3","Fiordland Crested Penguin","Bar-tailed Godwit","Banded Dotterel","Black Robin","Blue Duck"
"4","Fantail","Kea","Tūī","Kākā","Kākāpō"
"5","Kākāpō","Little Spotted Kiwi","Rockhopper Penguin","Kōkako","Shore Plover"
"6","Yellow-eyed penguin",NA,NA,NA,NA
"7","Kākāpō","Black Robin","Orange-fronted Parakeet","Little Spotted Kiwi","Kākā"
"8","Australasian Crested Grebe","Blue Duck","New Zealand Falcon","Tomtit","Kea"
"9","Antipodean Albatross","Southern Brown Kiwi","Southern Royal Albatross","Great Spotted Kiwi","Barn Owl"
"10","Kererū","Rockhopper Penguin","Royal Spoonbill","Little Spotted Kiwi","Yellow-eyed penguin"
"11","Little Penguin","Silvereye","New Zealand Robin","Fantail","Kākā"
"12","Yellow-eyed penguin",NA,NA,NA,NA
"13","Kākāpō","Variable Oystercatcher","Little Penguin","Blue Duck","Kererū"
"14","Yellow-eyed penguin","South Island Kōkako","Fairy Tern","Chatham Island Oystercatcher","Blue Duck"
"15","Kākā","Fantail","Little Spotted Kiwi","Kingfisher","Mōhua"
"16","Yellow-eyed penguin","Black Robin",NA,NA,NA
"17","Kākāpō","Black Robin","Yellow-eyed penguin","Royal Spoonbill","Shining Cuckoo"
"18","Yellow-eyed penguin","Mōhua","Stitchbird","South Island Kōkako","Rockhopper Penguin"
"19","Black Robin","Black Stilt","Blue Duck","Shore Plover","Yellow-eyed penguin"
"20","Yellow-eyed penguin","Orange-fronted Parakeet","Morepork","Kererū","Kākāpō"
"21","Yellow-eyed penguin",NA,NA,NA,NA
"22","Royal Spoonbill","Chatham Island Mollymawk","Silvereye","Fairy Tern","South Island Kōkako"
"23","Kererū","Kākāpō","Little Spotted Kiwi",NA,NA
"24","Southern Brown Kiwi","Blue Duck","Black Robin","Yellow-eyed penguin","Whenua Hou Diving Petrel"
"25","New Zealand Falcon","Black Robin","Chatham Island Mollymawk","South Island Kōkako","Shore Plover"
"26","Rock Wren","Rockhopper Penguin","Fairy Tern","Tomtit","Takahē"
"27","Bellbird","Banded Dotterel","Bittern","Hutton's Shearwater","Kōkako"
"28","Yellow-eyed penguin","Blue Duck","Black Stilt","Black-billed Gull","Banded Dotterel"
"29","Yellow-eyed penguin",NA,NA,NA,NA
"30","Kea","Kākāpō","Orange-fronted Parakeet","Kākā","Black Stilt"
"31","Yellow-eyed penguin","Orange-fronted Parakeet","Mōhua","Kākā","Black Robin"
"32","Yellow-eyed penguin","Tūī","New Zealand Dotterel","Morepork","Kākā"
"33","Little Penguin","Morepork","New Zealand King Shag","Rockhopper Penguin","Southern Brown Kiwi"
"34","Yellow-eyed penguin","Blue Duck","Fairy Tern","Kākāpō","Takahē"
"35","Kākā","South Island Kōkako","Antipodean Albatross","Kākāpō","Orange-fronted Parakeet"
"36","Blue Duck","Rock Wren","Kākā","Morepork","Mōhua"
"37","Yellow-eyed penguin",NA,NA,NA,NA
"38","Yellow-eyed penguin",NA,NA,NA,NA
"39","Barn Owl","Antipodean Albatross","Australasian Crested Grebe","Bellbird","Yellow-eyed penguin"
"40","Banded Dotterel","Kōkako","South Island Kōkako","Shining Cuckoo","Barn Owl"
"41","Fantail","Pūkeko","Silvereye","Little Spotted Kiwi","Black Robin"
"42","Kererū","Barn Owl","Little Penguin","New Zealand Falcon","Morepork"
"43","Fairy Tern","Grey Duck","Tūī","Kea","Kererū"
"44","Antipodean Albatross","Bar-tailed Godwit","Barn Owl","Bittern","Black Robin"
"45","Rockhopper Penguin","Yellow-eyed penguin","Fiordland Crested Penguin","Orange-fronted Parakeet","Chatham Island Oystercatcher"
"46","Pūkeko","Little Spotted Kiwi","Rockhopper Penguin","Takahē","Silvereye"
"47","Saddleback","Kākā","Little Spotted Kiwi","Kea","Tūī"
"48","The Otago Shag","Northern Royal Albatross","Kākā","Black Robin","Yellow-eyed penguin"
"49","Yellow-eyed penguin","South Island Kōkako","Saddleback","Kea","Southern Royal Albatross"
"50","Kererū","Grey Warbler","Bellbird","Kākā","Tūī"
"51","Kākā","Kingfisher","Rifleman","Black Petrel","Black-billed Gull"
"52","Orange-fronted Parakeet","Kākā","Rockhopper Penguin","Yellow-eyed penguin","Morepork"
"53","Black Stilt","Saddleback","Southern Brown Kiwi","Takahē","Kea"
"54","Fantail","New Zealand Robin","Barn Owl","Silvereye","Morepork"
"55","Yellow-eyed penguin","Southern Brown Kiwi","South Island Kōkako","Saddleback","New Zealand Falcon"
"56","Grey Warbler","Kākā","Bellbird","Harrier","Fantail"
"57","Kākāpō",NA,NA,NA,NA
"58","Blue Duck","Weka","Westland Petrel","Great Spotted Kiwi","Morepork"
"59","Yellow-eyed penguin","Southern Brown Kiwi","Northern Royal Albatross","Fantail","Harrier"
"60","Kākāpō","Orange-fronted Parakeet","Black Robin","Fairy Tern","Kākā"
"61","Black Robin","Little Spotted Kiwi","Rockhopper Penguin","Blue Duck","Kererū"
"62","Takahē","Stitchbird","Yellow-eyed penguin","Kākāpō","Wrybill"
"63","Silvereye","Little Spotted Kiwi","Kea","Kererū","Kākāpō"
"64","Southern Brown Kiwi","Orange-fronted Parakeet","Yellow-eyed penguin","Black Robin","Tūī"
"65","Yellow-eyed penguin",NA,NA,NA,NA
"66","New Zealand Dotterel","New Zealand Falcon","Barn Owl","North Island Brown Kiwi","Yellow-eyed penguin"
"67","Banded Dotterel","Kea","Morepork","Fiordland Crested Penguin","Fantail"
"68","Kōkako","Barn Owl","Yellow-eyed penguin","Kākā","Orange-fronted Parakeet"
"69","Black-billed Gull","Fantail","Kea","Little Penguin","Royal Spoonbill"
"70","Tūī","Takahē","Kākā","Fantail","Little Penguin"
"71","Yellow-eyed penguin","Little Spotted Kiwi","Kākāpō","Kākā","Kōkako"
"72","Yellow-eyed penguin","Fiordland Crested Penguin","Little Penguin","Rockhopper Penguin","Antipodean Albatross"
"73","Black-billed Gull","Harrier","Royal Spoonbill","Hutton's Shearwater","Australasian Crested Grebe"
"74","Tūī","Kererū","Kōkako","South Island Kōkako","Kākāpō"
"75","Gibson's Albatross","Rock Wren","Rockhopper Penguin","Whitehead","Morepork"
"76","Antipodean Albatross","Kākā","Mōhua","Tūī","Fantail"
"77","New Zealand Dotterel","Banded Dotterel","Stitchbird","Orange-fronted Parakeet","Kererū"
"78","Great Spotted Kiwi","Kākāpō","Little Penguin","Little Spotted Kiwi","Shore Plover"
"79","Antipodean Albatross","Morepork","Kākāpō","Kōkako","Weka"
"80","Fernbird","Little Penguin","Brown Teal","Little Spotted Kiwi","New Zealand Robin"
"81","Black Robin","Mōhua","Orange-fronted Parakeet","Yellow-eyed penguin","Gibson's Albatross"
"82","Kererū","Tūī","Fantail","Pūkeko","Little Penguin"
"83","Tomtit","Rifleman","Banded Dotterel","Fernbird","Kākāpō"
"84","South Island Pied Oystercatcher","Southern Brown Kiwi","The Otago Shag","Yellow-eyed penguin","Blue Duck"
"85","Fairy Tern","Black Robin","Mōhua","New Zealand Robin","Yellow-eyed penguin"
"86","Yellow-eyed penguin","Kererū","Rifleman","Black Robin","Westland Petrel"
"87","Southern Royal Albatross","Yellow-eyed penguin","Antipodean Albatross","Blue Duck","Fiordland Crested Penguin"
"88","New Zealand Dabchick","Antipodean Albatross","Fiordland Crested Penguin","Australasian Crested Grebe","Black Robin"
"89","Morepork","Fantail","Gibson's Albatross","Kākā","Little Spotted Kiwi"
"90","Fantail","Tomtit","Tūī","Kererū","Silvereye"
"91","Mōhua","Southern Brown Kiwi","Orange-fronted Parakeet","Kākāpō","Whenua Hou Diving Petrel"
"92","Kererū","Kingfisher","Little Penguin","Morepork","Rifleman"
"93","Mōhua","Great Spotted Kiwi","Barn Owl","Orange-fronted Parakeet","Kererū"
"94","Tomtit","Rifleman","New Zealand Robin","Black Robin","Kōkako"
"95","Yellow-eyed penguin","Whenua Hou Diving Petrel","South Island Kōkako","Shore Plover","Antipodean Albatross"
"96","New Zealand Falcon","Black Robin","Stitchbird","Black Petrel","Shore Plover"
"97","Great Spotted Kiwi","Kākā","Bar-tailed Godwit","Banded Dotterel","Australasian Gannet"
"98","Kākā","Saddleback","Tomtit","Weka","Kererū"
"99","Wrybill",NA,NA,NA,NA
"100","Kererū","Barn Owl","Little Spotted Kiwi","New Zealand Falcon","Fairy Tern"
"101","Great Spotted Kiwi","The Otago Shag","Tūī","Kākāpō","Yellow-eyed penguin"
"102","Black Robin","Little Spotted Kiwi","Blue Duck","Fairy Tern","Kererū"
"103","New Zealand Dotterel","Banded Dotterel","Black Robin","Kea","Buller's Mollymawk"
"104","Fiordland Crested Penguin","Black-fronted Tern","Chatham Island Mollymawk","Shore Plover","Yellow-eyed penguin"
"105","Little Penguin","Kākāpō","Southern Brown Kiwi","New Zealand Robin","Mōhua"
"106","Black Robin","Yellow-eyed penguin","Mōhua","Kākā","Northern Royal Albatross"
"107","Yellow-eyed penguin","Little Penguin","Takahē",NA,NA
"108","Kākāpō","Kea","Kākā","Antipodean Albatross","Kererū"
"109","Antipodean Albatross","Barn Owl","Tūī","Yellow-eyed penguin","Fantail"
"110","Banded Dotterel","New Zealand Dotterel","Black Stilt","Bittern","Hutton's Shearwater"
"111","Kākāpō","North Island Brown Kiwi","Kea","South Island Kōkako","Little Penguin"
"112","Kākā","Antipodean Albatross","Banded Dotterel","South Island Kōkako","Kākāpō"
"113","Takahē","Fernbird","The Otago Shag","Morepork","Yellow-eyed penguin"
"114","Black-billed Gull","Bittern","Banded Dotterel","Yellow-eyed penguin","New Zealand Robin"
"115","Fantail","Antipodean Albatross","Fairy Tern","Kingfisher","North Island Brown Kiwi"
"116","Black Robin","Banded Dotterel","Bittern","Blue Duck","Yellow-eyed penguin"
"117","Yellow-eyed penguin","South Island Kōkako","Mōhua","Southern Brown Kiwi","New Zealand Dotterel"
"118","Banded Dotterel","Kōkako","Yellow-eyed penguin","Morepork","Kākā"
"119","Rock Wren","Bittern","Fernbird","Kea","Saddleback"
"120","Yellow-eyed penguin","Kererū","Fantail","Harrier","Morepork"
"121","Yellow-eyed penguin",NA,NA,NA,NA
"122","Kākā","Antipodean Albatross","Fantail","Black Robin","Chatham Island Mollymawk"
"123","Black Robin","Fantail","New Zealand Robin","Yellow-eyed penguin","Antipodean Albatross"
"124","Yellow-eyed penguin","Kākāpō","Southern Brown Kiwi","Orange-fronted Parakeet","Bittern"
"125","Yellow-eyed penguin",NA,NA,NA,NA
"126","Kea","New Zealand Falcon","Kingfisher","Harrier","Fantail"
"127","Banded Dotterel","Barn Owl","Bittern","Black Robin","Morepork"
"128","New Zealand Dabchick","Australasian Crested Grebe","Gibson's Albatross","New Zealand King Shag","Grey Duck"
"129","Kākāpō","Blue Duck","Kākā","Mōhua","Southern Royal Albatross"
"130","Fairy Tern","Hutton's Shearwater","Kākā","Kākāpō","Little Spotted Kiwi"
"131","Yellow-eyed penguin","Antipodean Albatross","Mōhua","New Zealand Dotterel","Gibson's Albatross"
"132","Tūī","Little Penguin","Yellow-eyed penguin","Fiordland Crested Penguin","Kōkako"
"133","Kererū","Tūī","Orange-fronted Parakeet",NA,NA
"134","Little Spotted Kiwi","Great Spotted Kiwi","Black Robin","Morepork","Rifleman"
"135","Banded Dotterel","Kererū","Mōhua","Orange-fronted Parakeet","Gibson's Albatross"
"136","Blue Duck","Takahē","Black Robin","Kākā","Yellow-eyed penguin"
"137","Kererū",NA,NA,NA,NA
"138","Yellow-eyed penguin","Little Penguin","Rockhopper Penguin","Black Robin","Kererū"
"139","Yellow-eyed penguin","Gibson's Albatross","Orange-fronted Parakeet","Whenua Hou Diving Petrel","Chatham Island Oystercatcher"
"140","Kākāpō","Banded Dotterel","Kea","Orange-fronted Parakeet","Yellow-eyed penguin"
"141","Yellow-eyed penguin","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin","Gibson's Albatross"
"142","Black-billed Gull","Grey Warbler","Chatham Island Oystercatcher","Fairy Tern","Welcome Swallow"
"143","Kererū",NA,NA,NA,NA
"144","Fiordland Crested Penguin","Rockhopper Penguin","Yellow-eyed penguin","Little Penguin","Bellbird"
"145","Kākāpō","Orange-fronted Parakeet","Southern Brown Kiwi","Kākā","Chatham Island Mollymawk"
"146","Kererū",NA,NA,NA,NA
"147","Silvereye","South Island Kōkako","Kōkako","Kākāpō","Pūkeko"
"148","Black Robin","Blue Duck","Chatham Island Mollymawk","Kākāpō","Little Spotted Kiwi"
"149","Kākāpō","New Zealand Falcon","Fiordland Crested Penguin","Kea","Yellow-eyed penguin"
"150","Morepork","Kākāpō","Tūī","Rock Wren","Kingfisher"
"151","Kingfisher","Harrier","Kākāpō","Little Penguin","Welcome Swallow"
"152","Black Robin","Blue Duck","Kākāpō",NA,NA
"153","Morepork","Royal Spoonbill","Banded Dotterel","Bar-tailed Godwit","Chatham Island Oystercatcher"
"154","Yellow-eyed penguin","Saddleback","South Island Kōkako","Fiordland Crested Penguin","Kōkako"
"155","Bellbird","White Heron","Pied Shag","Kingfisher","Pūkeko"
"156","Banded Dotterel","Black Stilt","Blue Duck","Chatham Island Mollymawk","Kea"
"157","Southern Royal Albatross","Kākāpō","Yellow-eyed penguin","Royal Spoonbill","Mōhua"
"158","Kererū",NA,NA,NA,NA
"159","Kākāpō","Blue Duck","Yellow-eyed penguin","Little Spotted Kiwi","Black Robin"
"160","New Zealand Falcon","Australasian Gannet","Grey Warbler","Harrier","Silvereye"
"161","Yellow-eyed penguin","Kākāpō","Takahē","Kōkako","New Zealand Falcon"
"162","Bellbird",NA,NA,NA,NA
"163","Orange-fronted Parakeet","Wrybill","Grey Duck","New Zealand Robin","New Zealand Falcon"
"164","Takahē","Yellow-eyed penguin","Stitchbird","Kākāpō","Tūī"
"165","Bellbird",NA,NA,NA,NA
"166","Rockhopper Penguin","Little Penguin","Yellow-eyed penguin","Fiordland Crested Penguin","Tūī"
"167","Tūī","Pūkeko","Kākā","Fantail","North Island Brown Kiwi"
"168","Yellow-eyed penguin","Fantail","Tūī",NA,NA
"169","Banded Dotterel","Black Robin","Blue Duck","Chatham Island Mollymawk","Fiordland Crested Penguin"
"170","Blue Duck","Yellow-eyed penguin","Little Spotted Kiwi","Southern Brown Kiwi","Stitchbird"
"171","Bittern",NA,NA,NA,NA
"172","New Zealand Dabchick","Wrybill","Spotless Crake","Rock Wren","Blue Duck"
"173","Fantail","Kea","Morepork","Tūī",NA
"174","Yellow-eyed penguin","White-faced Heron","Kererū","Black-billed Gull","Rockhopper Penguin"
"175","Black Robin","Chatham Island Mollymawk","Gibson's Albatross","Tūī","Kākā"
"176","Yellow-eyed penguin","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin","Antipodean Albatross"
"177","Kākāpō","Little Penguin","Morepork","Tūī","Fantail"
"178","Black-fronted Tern","Blue Duck","Bittern","Fernbird","Rock Wren"
"179","Yellow-eyed penguin","Kākāpō","Black Robin","Antipodean Albatross","Banded Dotterel"
"180","Saddleback","Stitchbird","Tūī","Rockhopper Penguin","Silvereye"
"181","Kākāpō","Kākā","Kea","Kererū","Blue Duck"
"182","Mōhua","Australasian Crested Grebe","Bittern","Shining Cuckoo","Wrybill"
"183","Banded Dotterel","Mōhua","Bittern","Orange-fronted Parakeet","Fairy Tern"
"184","Kererū",NA,NA,NA,NA
"185","Blue Duck","Shore Plover","Fiordland Crested Penguin","Stitchbird","Saddleback"
"186","Yellow-eyed penguin","Little Penguin","Fantail","Fiordland Crested Penguin","Gibson's Albatross"
"187","Blue Duck","Fantail","Fiordland Crested Penguin","Kōkako","Little Spotted Kiwi"
"188","Yellow-eyed penguin","North Island Brown Kiwi","Fairy Tern","Mōhua","Orange-fronted Parakeet"
"189","Banded Dotterel","Black-billed Gull","Gibson's Albatross","New Zealand Dotterel","Black Stilt"
"190","Bittern","Blue Duck","Fernbird","Kōkako","Takahē"
"191","Yellow-eyed penguin","Antipodean Albatross","Fernbird","Bellbird","Fantail"
"192","Kererū","Kākāpō","Morepork",NA,NA
"193","Kea","Rockhopper Penguin","Black Robin","Orange-fronted Parakeet","Yellow-eyed penguin"
"194","New Zealand Robin","White-faced Heron","New Zealand Falcon","Yellow-eyed penguin","Black Robin"
"195","Southern Brown Kiwi","Barn Owl","Black Robin","Rockhopper Penguin","Royal Spoonbill"
"196","Australasian Crested Grebe","Fantail","Kererū","New Zealand Falcon","Buller's Mollymawk"
"197","Banded Dotterel","Yellow-eyed penguin","Orange-fronted Parakeet","Fairy Tern","Morepork"
"198","Yellow-eyed penguin",NA,NA,NA,NA
"199","Blue Duck","Brown Teal",NA,NA,NA
"200","Yellow-eyed penguin","Banded Dotterel","Blue Duck","Little Penguin","Whitehead"
"201","Barn Owl","Black Robin","Black-billed Gull","Morepork","Little Penguin"
"202","Kererū","Kākā","Kingfisher","Tūī","Morepork"
"203","Antipodean Albatross","Banded Dotterel","Black Robin","Black Stilt","Kea"
"204","Black Robin","Morepork","Rockhopper Penguin","New Zealand Falcon","Australasian Gannet"
"205","Southern Brown Kiwi","Kākāpō","Antipodean Albatross","Banded Dotterel","Orange-fronted Parakeet"
"206","Yellow-eyed penguin",NA,NA,NA,NA
"207","Yellow-eyed penguin",NA,NA,NA,NA
"208","Yellow-eyed penguin","Blue Duck","Takahē","New Zealand Falcon","Kākāpō"
"209","Black Stilt","Kākā","Saddleback","South Island Kōkako","Gibson's Albatross"
"210","Yellow-eyed penguin","Royal Spoonbill","Antipodean Albatross","Kingfisher","Kōkako"
"211","Bellbird","Tomtit","Tūī","South Island Kōkako","Black Robin"
"212","Morepork","Australasian Gannet","Kingfisher","Fantail","Little Penguin"
"213","Yellow-eyed penguin","Stitchbird","Kākā","Southern Royal Albatross","Southern Brown Kiwi"
"214","Fantail","Barn Owl","Bellbird","Chatham Island Mollymawk","Australasian Gannet"
"215","Yellow-eyed penguin",NA,NA,NA,NA
"216","Black-billed Gull","Wrybill","Rifleman","Kākāpō","Saddleback"
"217","Fairy Tern","Banded Dotterel","Antipodean Albatross","Bar-tailed Godwit","New Zealand King Shag"
"218","Banded Dotterel","Black Robin","Grey Warbler","Black-fronted Tern","Little Penguin"
"219","Yellow-eyed penguin","Fairy Tern","Shore Plover","Black-billed Gull","Hutton's Shearwater"
"220","Banded Dotterel","Bittern","Black Robin","Chatham Island Mollymawk","Kākāpō"
"221","Yellow-eyed penguin","Kākāpō","Kingfisher","Northern Royal Albatross","The Otago Shag"
"222","Kākāpō","Little Penguin","North Island Brown Kiwi","Great Spotted Kiwi","Southern Brown Kiwi"
"223","Kea","Kererū","Fantail","Little Spotted Kiwi","Southern Brown Kiwi"
"224","Whenua Hou Diving Petrel","Blue Duck","Kākāpō","Rock Wren","Antipodean Albatross"
"225","Yellow-eyed penguin","Fiordland Crested Penguin","Little Spotted Kiwi","Chatham Island Oystercatcher","Chatham Island Mollymawk"
"226","Yellow-eyed penguin",NA,NA,NA,NA
"227","Yellow-eyed penguin","Orange-fronted Parakeet","New Zealand Falcon","Banded Dotterel","Stitchbird"
"228","North Island Brown Kiwi","Barn Owl","Tomtit","Rockhopper Penguin","Morepork"
"229","Royal Spoonbill","Southern Royal Albatross","Banded Dotterel","Mōhua","Antipodean Albatross"
"230","Harrier","Tūī","Weka","Fantail","Pūkeko"
"231","Kererū","Rockhopper Penguin","Scaup","Royal Spoonbill","Westland Petrel"
"232","New Zealand Falcon","Kea","Black Robin","Banded Dotterel","Fairy Tern"
"233","Takahē","Tūī","Kererū","Black Stilt","Black-billed Gull"
"234","Tomtit","Kōkako","Little Penguin","Mōhua","Black Petrel"
"235","Takahē","Saddleback","Australasian Gannet","Rockhopper Penguin","Kererū"
"236","Fiordland Crested Penguin","Kea","Kākāpō","Morepork","Rifleman"
"237","Bar-tailed Godwit",NA,NA,NA,NA
"238","Antipodean Albatross","Fiordland Crested Penguin","New Zealand Falcon","Yellow-eyed penguin","Kākā"
"239","Kererū","Kea","Rifleman","Yellow-eyed penguin","South Polar Skua"
"240","Kingfisher","Tūī","Silvereye","Banded Dotterel","Little Penguin"
"241","Yellow-eyed penguin",NA,NA,NA,NA
"242","Scaup","North Island Brown Kiwi","New Zealand Dabchick","Rockhopper Penguin","Royal Spoonbill"
"243","White Heron","Welcome Swallow","Tūī","Stitchbird","Silvereye"
"244","Takahē","New Zealand Falcon","Fantail","Morepork","South Island Kōkako"
"245","Yellow-eyed penguin","Mōhua","Southern Brown Kiwi","Stitchbird","Orange-fronted Parakeet"
"246","Yellow-eyed penguin","Rockhopper Penguin","Fiordland Crested Penguin","Mōhua","Gibson's Albatross"
"247","Great Spotted Kiwi","Kea","Kererū","Kākāpō","Little Spotted Kiwi"
"248","Shore Plover","Fairy Tern","Chatham Island Oystercatcher","Blue Duck","Black Stilt"
"249","Blue Duck","Scaup","Brown Teal","Grey Duck","Yellow-eyed penguin"
"250","Yellow-eyed penguin",NA,NA,NA,NA
"251","Kingfisher","Royal Spoonbill","Kea","Bittern","Black shag"
"252","Little Penguin","Grey Duck","Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin"
"253","Black Robin","Yellow-eyed penguin","Fiordland Crested Penguin","Kākāpō","Brown Teal"
"254","Bittern","South Island Kōkako","Little Spotted Kiwi","Kingfisher","Banded Dotterel"
"255","Tūī","Fantail","Orange-fronted Parakeet","Pūkeko","Black Robin"
"256","Fantail","Tūī","Kākāpō","New Zealand Falcon","Kingfisher"
"257","Blue Duck","Buller's Mollymawk","Fairy Tern","Kea","Rock Wren"
"258","Stitchbird","Kea","Kingfisher","Kākā","Morepork"
"259","Yellow-eyed penguin",NA,NA,NA,NA
"260","Yellow-eyed penguin","Fiordland Crested Penguin","Brown Teal","Rockhopper Penguin","Black Petrel"
"261","Blue Duck","Little Penguin","Morepork","Rifleman","Shore Plover"
"262","Yellow-eyed penguin","White Heron","Kererū",NA,NA
"263","New Zealand Dabchick","Kākāpō","Gibson's Albatross","Blue Duck","Banded Dotterel"
"264","Orange-fronted Parakeet","Blue Duck","Shore Plover","Fairy Tern",NA
"265","Takahē","Whitehead","Black Robin","Blue Duck","Rockhopper Penguin"
"266","Kākāpō","Black Robin","Takahē","Tūī","Kea"
"267","Yellow-eyed penguin","Little Penguin","Rockhopper Penguin","Southern Royal Albatross","Antipodean Albatross"
"268","Barn Owl","Blue Duck","Kākāpō","Morepork","New Zealand Falcon"
"269","Blue Duck","Mōhua","Yellow-eyed penguin","Antipodean Albatross","Saddleback"
"270","Kea","Blue Duck","Kākā","Kōkako","Morepork"
"271","Yellow-eyed penguin","Morepork","Silvereye","Fiordland Crested Penguin","Fantail"
"272","Black Robin","Banded Dotterel","Yellow-eyed penguin","Black Stilt","Little Spotted Kiwi"
"273","Kākāpō","Kākā","Kea","Orange-fronted Parakeet","Little Spotted Kiwi"
"274","Banded Dotterel","Black Robin","Chatham Island Mollymawk","Fairy Tern","Shining Cuckoo"
"275","Blue Duck",NA,NA,NA,NA
"276","Antipodean Albatross","New Zealand Dotterel","Wrybill","Yellow-eyed penguin","Fairy Tern"
"277","Yellow-eyed penguin","Black Robin","Rifleman","Barn Owl","Tomtit"
"278","Yellow-eyed penguin","Fiordland Crested Penguin","Kererū","Kākā","Little Spotted Kiwi"
"279","Mōhua","New Zealand Dotterel","Southern Brown Kiwi","Banded Dotterel","Stitchbird"
"280","Blue Duck",NA,NA,NA,NA
"281","Yellow-eyed penguin","New Zealand Dabchick","Rock Wren","Banded Dotterel","Rifleman"
"282","Banded Dotterel","Black Robin","Black-billed Gull","Chatham Island Mollymawk","Gibson's Albatross"
"283","Kākā","Blue Duck","Morepork","Bellbird","Fantail"
"284","Yellow-eyed penguin","Royal Spoonbill","Fiordland Crested Penguin","Kingfisher","New Zealand Falcon"
"285","Black Stilt","Chatham Island Oystercatcher","Fairy Tern","Hutton's Shearwater","Little Spotted Kiwi"
"286","Banded Dotterel","Bittern","Black Robin","Black Stilt","Chatham Island Oystercatcher"
"287","New Zealand Dotterel","New Zealand Dabchick","Takahē","Tūī","Kākāpō"
"288","Kea","Kākāpō","Bellbird","Kōkako","Saddleback"
"289","Northern Royal Albatross","Bellbird","Tūī","Kererū","Kākā"
"290","Yellow-eyed penguin","Antipodean Albatross","Takahē","Kōkako","Black Stilt"
"291","Takahē","Blue Duck",NA,NA,NA
"292","Yellow-eyed penguin",NA,NA,NA,NA
"293","Blue Duck","Kōkako","Yellow-eyed penguin","Antipodean Albatross","Bellbird"
"294","Rockhopper Penguin","Kea","Southern Brown Kiwi","Stitchbird","Orange-fronted Parakeet"
"295","Banded Dotterel","New Zealand Dotterel","Saddleback","Yellow-eyed penguin","Mōhua"
"296","Yellow-eyed penguin","Mōhua","Antipodean Albatross","Orange-fronted Parakeet","Chatham Island Mollymawk"
"297","Kākāpō","Little Spotted Kiwi","Mōhua","Kea","Kererū"
"298","New Zealand Dabchick","Rifleman","Fairy Tern","Kea","New Zealand Dotterel"
"299","Mōhua","Blue Duck","Stitchbird",NA,NA
"300","Yellow-eyed penguin","Little Penguin","Blue Duck","North Island Brown Kiwi","Orange-fronted Parakeet"
"301","Wrybill",NA,NA,NA,NA
"302","Yellow-eyed penguin","Rockhopper Penguin","Gibson's Albatross","Fiordland Crested Penguin","New Zealand Falcon"
"303","Kea","Black Robin","Kākāpō","New Zealand Falcon","Harrier"
"304","Yellow-eyed penguin","Stitchbird","Blue Duck","Spotless Crake","Rock Wren"
"305","Antipodean Albatross","New Zealand Dotterel","Kākāpō","Black-billed Gull","Kōkako"
"306","South Island Kōkako","Banded Dotterel","New Zealand Dotterel","Whenua Hou Diving Petrel","Yellow-eyed penguin"
"307","New Zealand Falcon","Banded Dotterel","Black Robin","Black-billed Gull","Bar-tailed Godwit"
"308","Stitchbird","Fairy Tern","Mōhua","Kōkako","Yellow-eyed penguin"
"309","Fiordland Crested Penguin","Rockhopper Penguin","Little Penguin","Yellow-eyed penguin","Antipodean Albatross"
"310","Takahē","Kākāpō","Yellow-eyed penguin","Kākā","White Heron"
"311","Kea","Antipodean Albatross","New Zealand Falcon","Yellow-eyed penguin","Kākāpō"
"312","Bittern","Spotless Crake","Rock Wren","Kākā","Morepork"
"313","Banded Dotterel","Rock Wren","Rifleman","Bittern","Hutton's Shearwater"
"314","Kākāpō","Harrier","Yellow-eyed penguin","Black-billed Gull","Pūkeko"
"315","Yellow-eyed penguin","Blue Duck","Southern Royal Albatross","South Island Kōkako","Australasian Gannet"
"316","Little Penguin",NA,NA,NA,NA
"317","Australasian Gannet","Kingfisher","Tūī","North Island Brown Kiwi","Kākā"
"318","Stitchbird","Bar-tailed Godwit","Banded Dotterel","Kererū","Tūī"
"319","Kākāpō","Kākā","Kea","Antipodean Albatross","Southern Brown Kiwi"
"320","New Zealand Dotterel","Bittern","Hutton's Shearwater","Fairy Tern","Chatham Island Mollymawk"
"321","Yellow-eyed penguin",NA,NA,NA,NA
"322","Banded Dotterel","Antipodean Albatross","Kākā","Morepork","Kingfisher"
"323","Blue Duck","Morepork","Kākāpō","Kererū","New Zealand Dotterel"
"324","Black Robin","Banded Dotterel","Yellow-eyed penguin","Stitchbird","South Island Kōkako"
"325","Yellow-eyed penguin","New Zealand Dotterel","Black-billed Gull","Black Stilt","Black Robin"
"326","Kākāpō","Kererū","Orange-fronted Parakeet","Tūī","Kingfisher"
"327","South Island Kōkako","Kākāpō","Kōkako","Takahē","Blue Duck"
"328","Bar-tailed Godwit","Bittern","Hutton's Shearwater","Black Petrel","Black Stilt"
"329","Yellow-eyed penguin","Banded Dotterel","Black Robin","Southern Brown Kiwi","Kākāpō"
"330","Fairy Tern","Shore Plover","Takahē","Bittern","Kōkako"
