"","id","day","airline","destination","dest_region","dest_size","boarding_area","dept_time","wait_min","cleanliness","safety","satisfaction"
"1735",933,"Friday","AIR CANADA","TORONTO","Canada/Mexico","Hub","Gates 91-102","2018-12-31",130,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1736",2495,"Friday","UNITED","CHICAGO-O'HARE","Midwest US","Hub","Gates 60-69","2018-12-31",109,"Somewhat clean","Somewhat safe","Very satisfied"
"1737",2829,"Tuesday","UNITED","BURBANK","West US","Small","Gates 70-90","2018-12-31",93,"Somewhat clean","Very safe","Somewhat satsified"
"1738",3159,"Tuesday","UNITED","SAN DIEGO","West US","Medium","Gates 60-69","2018-12-31",120,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1739",537,"Thursday","EMIRATES","DUBAI","Middle East","Hub","Gates 1-12","2018-12-31",240,"Clean","Very safe","Somewhat satsified"
"1740",762,"Thursday","AIR CANADA","TORONTO","Canada/Mexico","Hub","Gates 91-102","2018-12-31",85,"Clean","Somewhat safe","Somewhat satsified"
"1741",1548,"Thursday","DELTA","NEW YORK-JFK","East US","Hub","Gates 40-48","2018-12-31",135,"Clean","Very safe","Somewhat satsified"
"1742",2163,"Wednesday","FRONTIER","DENVER","West US","Hub","Gates 20-39","2018-12-31",213,"Clean","Very safe","Somewhat satsified"
"1743",2466,"Friday","UNITED","CHICAGO-O'HARE","Midwest US","Hub","Gates 60-69","2018-12-31",109,"Clean","Very safe","Very satisfied"
"1744",407,"Saturday","UNITED","PHOENIX","West US","Hub","Gates 70-90","2018-12-31",110,"Clean","Very safe","Somewhat satsified"
"1745",1389,"Tuesday","UNITED INTL","SHANGHAI","Asia","Hub","Gates 91-102","2018-12-31",NA,"Clean","Very safe","Very satisfied"
"1746",456,"Sunday","UNITED","DALLAS-FT. WORTH","Midwest US","Hub","Gates 60-69","2018-12-31",235,"Clean","Very safe","Somewhat satsified"
"1747",1364,"Tuesday","UNITED INTL","KANSAI","Asia","Hub","Gates 91-102","2018-12-31",105,"Clean","Very safe","Somewhat satsified"
"1748",3280,"Wednesday","SOUTHWEST","DENVER","West US","Hub","Gates 20-39","2018-12-31",95,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1749",851,"Tuesday","AMERICAN","DALLAS-FT. WORTH","Midwest US","Hub","Gates 50-59","2018-12-31",130,"Clean","Very safe","Somewhat satsified"
"1750",619,"Thursday","ALASKA","NEWARK","East US","Hub","Gates 50-59","2018-12-31",120,"Clean","Very safe","Somewhat satsified"
"1751",1818,"Monday","UNITED INTL","LONDON HEATHROW","Europe","Hub","Gates 91-102","2018-12-31",275,"Clean","Somewhat safe","Somewhat satsified"
"1752",768,"Sunday","ALASKA","NEW YORK-JFK","East US","Hub","Gates 50-59","2018-12-31",150,"Clean","Very safe","Very satisfied"
"1753",1964,"Friday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",200,"Clean","Somewhat safe","Somewhat satsified"
"1754",2271,"Wednesday","UNITED","LOS ANGELES","West US","Hub","Gates 60-69","2018-12-31",115,"Average","Somewhat safe",NA
"1755",472,"Sunday","UNITED","DENVER","West US","Hub","Gates 70-90","2018-12-31",91,"Somewhat clean","Very safe","Somewhat satsified"
"1756",644,"Tuesday","ALASKA","WASHINGTON DC-DULLES","East US","Medium","Gates 50-59","2018-12-31",125,"Clean","Very safe","Somewhat satsified"
"1757",417,"Saturday","UNITED","PHOENIX","West US","Hub","Gates 70-90","2018-12-31",NA,"Average","Somewhat safe","Somewhat satsified"
"1758",467,"Sunday","UNITED","DENVER","West US","Hub","Gates 70-90","2018-12-31",NA,"Somewhat clean","Somewhat safe","Somewhat satsified"
