"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Support","Regular Army","Female",71.1,0.951,1.586
"Combat Support","Regular Army","Female",79.1,0.889,1.737
"Combat Service Support","Regular Army","Female",53.6,0.79,1.576
"Combat Support","Regular Army","Female",63.9,0.811,1.626
"Combat Support","Regular Army","Female",62.8,0.831,1.604
"Combat Service Support","Regular Army","Female",78.8,0.958,1.673
"Combat Service Support","Regular Army","Female",59.8,0.761,1.642
"Combat Support","Regular Army","Female",75.2,1.07,1.538
"Combat Support","Regular Army","Female",68.6,0.923,1.574
"Combat Arms","Regular Army","Female",66.8,0.949,1.637
"Combat Support","Regular Army","Female",61.3,0.858,1.62
"Combat Service Support","Regular Army","Female",74.2,0.859,1.733
"Combat Service Support","Regular Army","Female",52.2,0.721,1.526
"Combat Service Support","Regular Army","Female",76.7,0.908,1.732
"Combat Service Support","Regular Army","Female",66.1,0.88,1.624
"Combat Service Support","Regular Army","Female",50.5,0.759,1.507
"Combat Support","Regular Army","Female",63.7,0.919,1.56
"Combat Service Support","Regular Army","Female",66.6,0.908,1.64
"Combat Service Support","Regular Army","Female",61,0.731,1.675
"Combat Service Support","Regular Army","Female",58.1,0.82,1.526
"Combat Service Support","Regular Army","Female",60.9,0.821,1.623
"Combat Service Support","Regular Army","Female",57.5,0.74,1.584
"Combat Support","Regular Army","Female",79.7,1.024,1.671
"Combat Support","Regular Army","Female",74.5,0.932,1.552
"Combat Support","Regular Army","Female",61.4,0.827,1.633
"Combat Service Support","Regular Army","Female",67.7,0.896,1.53
"Combat Support","Regular Army","Female",50.8,0.738,1.606
"Combat Support","Regular Army","Female",63.3,0.832,1.617
"Combat Support","Regular Army","Female",71.1,0.851,1.645
"Combat Support","Regular Army","Female",72.7,0.859,1.681
"Combat Support","Regular Army","Female",67.9,0.906,1.655
"Combat Support","Regular Army","Female",83.3,1.028,1.626
"Combat Service Support","Regular Army","Female",62.2,0.786,1.635
"Combat Service Support","Regular Army","Female",61.6,0.853,1.572
"Combat Service Support","Regular Army","Female",57.3,0.745,1.608
"Combat Service Support","Regular Army","Female",50.7,0.737,1.662
"Combat Service Support","Regular Army","Female",61.1,0.802,1.582
"Combat Service Support","Regular Army","Female",86.6,1.045,1.701
"Combat Support","Regular Army","Female",52.3,0.763,1.602
"Combat Service Support","Regular Army","Female",67.6,0.955,1.549
"Combat Service Support","Regular Army","Female",54.9,0.719,1.561
"Combat Service Support","Regular Army","Female",57.1,0.746,1.677
"Combat Support","Regular Army","Female",64.4,0.874,1.594
"Combat Service Support","Regular Army","Female",64.9,0.772,1.628
"Combat Service Support","Regular Army","Female",59.2,0.802,1.549
"Combat Service Support","Regular Army","Female",56.3,0.719,1.559
"Combat Service Support","Regular Army","Female",58,0.862,1.619
"Combat Service Support","Regular Army","Female",81,1.044,1.69
"Combat Support","Regular Army","Female",64.9,0.817,1.698
"Combat Service Support","Regular Army","Female",65.4,0.817,1.705
"Combat Service Support","Regular Army","Female",57,0.816,1.625
"Combat Service Support","Regular Army","Female",80.5,0.939,1.666
"Combat Service Support","Regular Army","Female",67.1,0.863,1.559
"Combat Support","Regular Army","Female",67.3,0.915,1.595
"Combat Support","Regular Army","Female",55,0.764,1.634
"Combat Support","Regular Army","Female",70.8,0.899,1.643
"Combat Service Support","Regular Army","Female",53.8,0.782,1.667
"Combat Support","Regular Army","Female",77.1,0.897,1.661
"Combat Support","Regular Army","Female",60.2,0.817,1.56
"Combat Support","Regular Army","Female",71.9,0.9,1.61
"Combat Support","Army National Guard","Female",61.7,0.83,1.61
"Combat Service Support","Army National Guard","Female",76.1,0.947,1.682
