"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Service Support","Regular Army","Female",67.6,0.801,1.659
"Combat Service Support","Regular Army","Female",62.3,0.895,1.543
"Combat Service Support","Regular Army","Female",62.8,0.916,1.571
"Combat Service Support","Army Reserve","Female",50.3,0.681,1.618
"Combat Service Support","Regular Army","Female",59.9,0.79,1.61
"Combat Support","Army National Guard","Female",50.8,0.68,1.512
"Combat Service Support","Army Reserve","Female",52,0.725,1.555
"Combat Service Support","Army Reserve","Female",83.1,0.942,1.729
"Combat Service Support","Army Reserve","Female",62.2,0.838,1.593
"Combat Service Support","Army Reserve","Female",70.6,0.883,1.609
"Combat Service Support","Regular Army","Female",66.7,0.907,1.648
"Combat Service Support","Regular Army","Female",73,0.878,1.631
"Combat Support","Regular Army","Female",84.2,0.98,1.712
"Combat Service Support","Army National Guard","Female",54.9,0.794,1.541
"Combat Service Support","Army National Guard","Female",60.9,0.754,1.663
"Combat Service Support","Army Reserve","Female",67,0.844,1.614
"Combat Service Support","Army National Guard","Female",71.1,0.86,1.598
"Combat Service Support","Army National Guard","Female",65.5,0.865,1.617
"Combat Service Support","Army National Guard","Female",77.1,0.9,1.658
"Combat Service Support","Army National Guard","Female",66.8,0.769,1.642
"Combat Service Support","Army National Guard","Female",70.7,0.863,1.698
"Combat Support","Army National Guard","Female",75.7,0.936,1.648
"Combat Support","Army Reserve","Female",85.7,0.866,1.756
"Combat Service Support","Army National Guard","Female",67.8,0.842,1.651
"Combat Service Support","Army National Guard","Female",63,0.819,1.634
"Combat Service Support","Army National Guard","Female",74.5,0.794,1.709
"Combat Service Support","Regular Army","Female",56.4,0.746,1.686
"Combat Service Support","Regular Army","Female",72.1,0.878,1.645
"Combat Service Support","Army Reserve","Female",64.6,0.835,1.565
"Combat Service Support","Army National Guard","Female",44.4,0.69,1.537
"Combat Service Support","Army National Guard","Female",59.1,0.8,1.511
"Combat Service Support","Army National Guard","Female",69.6,0.848,1.649
"Combat Service Support","Army National Guard","Female",44.5,0.694,1.458
"Combat Service Support","Army National Guard","Female",72.6,0.765,1.759
"Combat Service Support","Army National Guard","Female",70.7,0.885,1.558
"Combat Service Support","Army National Guard","Female",64.3,0.797,1.688
"Combat Service Support","Army National Guard","Female",65.4,0.831,1.581
"Combat Support","Regular Army","Female",62.6,0.84,1.583
"Combat Support","Regular Army","Female",73.6,0.871,1.643
"Combat Support","Regular Army","Female",85.3,0.955,1.752
"Combat Support","Regular Army","Female",75,0.936,1.6
"Combat Support","Regular Army","Female",79.7,0.905,1.618
"Combat Service Support","Regular Army","Female",83.7,1.005,1.71
"Combat Service Support","Army National Guard","Female",59,0.756,1.585
"Combat Service Support","Army Reserve","Female",51.2,0.719,1.595
"Combat Service Support","Regular Army","Female",62.1,0.794,1.614
"Combat Service Support","Regular Army","Female",81,0.967,1.663
"Combat Service Support","Army National Guard","Female",61.4,0.846,1.617
"Combat Service Support","Army National Guard","Female",54.4,0.738,1.596
"Combat Support","Regular Army","Female",60.3,0.79,1.602
"Combat Support","Regular Army","Female",79.2,0.926,1.694
"Combat Support","Regular Army","Female",61.8,0.853,1.51
"Combat Support","Regular Army","Female",60.3,0.886,1.534
"Combat Service Support","Army National Guard","Female",88.5,0.97,1.634
"Combat Support","Regular Army","Female",84.2,1,1.679
"Combat Support","Regular Army","Female",79.8,0.956,1.618
"Combat Support","Regular Army","Female",63.4,0.84,1.658
"Combat Support","Regular Army","Female",56.1,0.749,1.643
"Combat Support","Army Reserve","Female",77.4,0.905,1.652
"Combat Support","Regular Army","Female",73,0.847,1.615
"Combat Support","Army Reserve","Female",85,0.933,1.674
"Combat Support","Army Reserve","Female",64.3,0.883,1.527
"Combat Support","Army Reserve","Female",50.5,0.71,1.518
"Combat Support","Regular Army","Female",72.9,0.825,1.653
"Combat Support","Regular Army","Female",83.5,0.866,1.659
"Combat Service Support","Regular Army","Female",46.3,0.668,1.57
"Combat Support","Regular Army","Female",80.2,1.121,1.57
"Combat Support","Regular Army","Female",95.1,1.121,1.653
"Combat Support","Regular Army","Female",58.2,0.68,1.712
"Combat Support","Regular Army","Female",70.3,0.863,1.519
"Combat Support","Army National Guard","Female",101.9,1.127,1.702
"Combat Support","Army National Guard","Female",64.5,0.801,1.627
"Combat Support","Regular Army","Female",72.1,0.942,1.516
"Combat Support","Regular Army","Female",66.1,0.9,1.583
"Combat Support","Regular Army","Female",58.9,0.775,1.647
"Combat Support","Regular Army","Female",52.8,0.702,1.594
"Combat Support","Regular Army","Female",62.3,0.783,1.617
"Combat Service Support","Army National Guard","Female",89.6,1.032,1.674
"Combat Support","Army National Guard","Female",83.3,0.981,1.605
"Combat Service Support","Army National Guard","Female",91.6,1.09,1.649
"Combat Support","Regular Army","Female",67.7,0.78,1.603
"Combat Support","Regular Army","Female",53.5,0.726,1.62
"Combat Support","Regular Army","Female",71.2,0.908,1.584
"Combat Support","Army National Guard","Female",52.7,0.725,1.579
"Combat Support","Army National Guard","Female",72.1,0.933,1.608
"Combat Support","Regular Army","Female",58.9,0.781,1.656
"Combat Support","Army National Guard","Female",73.1,0.867,1.639
"Combat Support","Regular Army","Female",62,0.771,1.63
"Combat Support","Regular Army","Female",69.5,0.991,1.615
"Combat Support","Regular Army","Female",62,0.85,1.584
"Combat Support","Regular Army","Female",66.9,0.814,1.664
"Combat Support","Regular Army","Female",54.3,0.83,1.545
"Combat Support","Regular Army","Female",64.8,0.862,1.688
"Combat Support","Regular Army","Female",62.5,0.701,1.673
"Combat Support","Regular Army","Female",64.3,0.807,1.647
"Combat Support","Regular Army","Female",73.6,0.957,1.637
"Combat Support","Regular Army","Female",82.4,0.922,1.787
"Combat Support","Regular Army","Female",70.1,0.895,1.503
"Combat Support","Regular Army","Female",69.9,0.94,1.562
"Combat Support","Regular Army","Female",75.4,0.912,1.558
"Combat Support","Army Reserve","Female",64.7,0.818,1.576
"Combat Support","Army Reserve","Female",66.6,0.83,1.628
"Combat Support","Regular Army","Female",83.1,0.944,1.748
"Combat Support","Regular Army","Female",63.2,0.84,1.572
"Combat Service Support","Regular Army","Female",74.6,0.824,1.743
"Combat Service Support","Regular Army","Female",58.9,0.904,1.561
"Combat Service Support","Regular Army","Female",64.3,0.825,1.623
"Combat Service Support","Regular Army","Female",70.5,0.908,1.649
"Combat Service Support","Regular Army","Female",76,0.901,1.661
"Combat Service Support","Regular Army","Female",68,0.847,1.668
"Combat Service Support","Regular Army","Female",69.5,0.842,1.722
"Combat Service Support","Regular Army","Female",86.8,1.077,1.674
"Combat Service Support","Regular Army","Female",65.3,0.77,1.663
"Combat Service Support","Regular Army","Female",80.4,0.856,1.543
"Combat Service Support","Regular Army","Female",67.3,0.763,1.561
"Combat Service Support","Regular Army","Female",51.6,0.682,1.587
"Combat Service Support","Regular Army","Female",52.6,0.841,1.495
"Combat Service Support","Regular Army","Female",91.4,1.106,1.645
"Combat Service Support","Regular Army","Female",91.9,1.045,1.653
"Combat Service Support","Regular Army","Female",75.7,0.993,1.685
"Combat Support","Regular Army","Female",71.7,1.017,1.569
"Combat Support","Regular Army","Female",73.8,0.851,1.656
"Combat Support","Regular Army","Female",76.9,0.86,1.672
"Combat Support","Regular Army","Female",69.2,0.785,1.622
"Combat Support","Regular Army","Female",60.9,0.765,1.664
"Combat Support","Regular Army","Female",59.6,0.737,1.636
"Combat Support","Regular Army","Female",74,0.953,1.666
"Combat Support","Regular Army","Female",80.4,0.973,1.558
"Combat Support","Regular Army","Female",93.4,0.958,1.674
"Combat Support","Regular Army","Female",56.8,0.812,1.534
"Combat Service Support","Regular Army","Female",62.6,0.923,1.63
"Combat Support","Regular Army","Female",73.8,0.878,1.671
"Combat Service Support","Regular Army","Female",80.8,0.816,1.789
"Combat Service Support","Regular Army","Female",62.4,0.831,1.553
"Combat Service Support","Regular Army","Female",77.5,0.903,1.673
"Combat Service Support","Regular Army","Female",63.1,0.824,1.598
"Combat Support","Regular Army","Female",87.5,0.972,1.798
"Combat Service Support","Regular Army","Female",65,0.8,1.641
"Combat Service Support","Regular Army","Female",65,0.772,1.718
"Combat Service Support","Regular Army","Female",63.8,0.925,1.568
"Combat Service Support","Regular Army","Female",64.2,0.84,1.652
"Combat Service Support","Regular Army","Female",69.8,0.829,1.676
"Combat Service Support","Regular Army","Female",83.1,0.968,1.595
"Combat Support","Regular Army","Female",96.2,1.095,1.697
"Combat Support","Regular Army","Female",93,1.05,1.703
"Combat Support","Regular Army","Female",48.9,0.696,1.567
"Combat Support","Regular Army","Female",53.6,0.76,1.554
"Combat Support","Regular Army","Female",62.9,0.736,1.645
"Combat Support","Regular Army","Female",51,0.651,1.625
"Combat Service Support","Regular Army","Female",65.4,0.837,1.56
"Combat Service Support","Regular Army","Female",58.8,0.798,1.501
"Combat Support","Regular Army","Female",65,0.88,1.617
"Combat Service Support","Regular Army","Female",67.9,0.79,1.66
"Combat Service Support","Regular Army","Female",71.9,1.045,1.635
"Combat Service Support","Regular Army","Female",92,1.033,1.621
"Combat Service Support","Regular Army","Female",61.8,0.757,1.596
"Combat Service Support","Regular Army","Female",71.2,0.885,1.649
"Combat Service Support","Regular Army","Female",64.3,0.893,1.59
"Combat Service Support","Regular Army","Female",79.3,0.968,1.63
"Combat Service Support","Regular Army","Female",57.5,0.93,1.505
"Combat Service Support","Regular Army","Female",68.6,0.837,1.59
"Combat Service Support","Regular Army","Female",68.8,0.84,1.613
"Combat Service Support","Regular Army","Female",77.8,0.9,1.62
"Combat Service Support","Regular Army","Female",76.5,0.955,1.687
"Combat Support","Regular Army","Female",59,0.796,1.613
"Combat Service Support","Regular Army","Female",62.6,0.833,1.648
"Combat Service Support","Regular Army","Female",90.8,0.891,1.82
"Combat Service Support","Regular Army","Female",50,0.656,1.613
"Combat Support","Regular Army","Female",68.8,0.808,1.719
"Combat Service Support","Regular Army","Female",56.7,0.803,1.543
"Combat Service Support","Army National Guard","Female",62.2,0.807,1.674
"Combat Service Support","Regular Army","Female",70.7,0.865,1.662
"Combat Service Support","Army National Guard","Female",68.5,0.876,1.612
"Combat Service Support","Regular Army","Female",57.1,0.723,1.605
"Combat Service Support","Regular Army","Female",84.6,1.056,1.56
"Combat Service Support","Regular Army","Female",61.8,0.711,1.664
"Combat Service Support","Army Reserve","Female",67.2,0.78,1.662
"Combat Service Support","Regular Army","Female",69.2,0.778,1.62
"Combat Service Support","Regular Army","Female",46.9,0.637,1.567
"Combat Service Support","Regular Army","Female",67.4,0.79,1.689
"Combat Service Support","Army National Guard","Female",52.9,0.718,1.576
"Combat Service Support","Regular Army","Female",64.4,0.84,1.596
"Combat Service Support","Regular Army","Female",81.9,1.026,1.684
"Combat Service Support","Regular Army","Female",68.3,0.817,1.702
"Combat Service Support","Regular Army","Female",58.2,0.689,1.745
"Combat Service Support","Regular Army","Female",53.2,0.764,1.599
"Combat Service Support","Regular Army","Female",70.3,0.858,1.628
"Combat Service Support","Regular Army","Female",80.7,0.855,1.651
"Combat Service Support","Regular Army","Female",56.9,0.825,1.592
"Combat Service Support","Army National Guard","Female",50.4,0.787,1.587
"Combat Service Support","Army National Guard","Female",74.3,0.941,1.628
"Combat Service Support","Army National Guard","Female",64.8,0.84,1.627
"Combat Service Support","Army National Guard","Female",65.2,0.846,1.617
"Combat Service Support","Army National Guard","Female",54.8,0.79,1.582
"Combat Service Support","Army National Guard","Female",56.1,0.776,1.537
"Combat Service Support","Regular Army","Female",66.3,0.823,1.629
"Combat Service Support","Regular Army","Female",57.7,0.725,1.64
"Combat Service Support","Regular Army","Female",79,0.908,1.675
"Combat Service Support","Regular Army","Female",67.1,0.908,1.592
"Combat Arms","Regular Army","Female",69.1,0.942,1.633
"Combat Support","Regular Army","Female",77.3,0.863,1.733
"Combat Support","Regular Army","Female",62.2,0.733,1.61
"Combat Service Support","Regular Army","Female",62,0.852,1.566
"Combat Service Support","Army Reserve","Female",69.1,0.898,1.639
"Combat Service Support","Regular Army","Female",62.6,0.879,1.58
"Combat Service Support","Army Reserve","Female",58.7,0.751,1.557
"Combat Service Support","Regular Army","Female",69.4,0.864,1.683
"Combat Service Support","Army National Guard","Female",64.7,0.779,1.597
"Combat Support","Army National Guard","Female",62.1,0.884,1.598
"Combat Support","Regular Army","Female",69.8,0.94,1.613
"Combat Service Support","Regular Army","Female",65.6,0.769,1.649
"Combat Service Support","Army National Guard","Female",60.2,0.757,1.672
"Combat Service Support","Army National Guard","Female",74.3,0.784,1.713
"Combat Service Support","Army National Guard","Female",74.4,0.991,1.641
"Combat Service Support","Army National Guard","Female",63.3,0.788,1.612
"Combat Service Support","Army National Guard","Female",62.1,0.807,1.596
"Combat Arms","Army National Guard","Female",46.7,0.72,1.442
"Combat Arms","Army National Guard","Female",63.9,0.849,1.555
"Combat Service Support","Army National Guard","Female",57.9,0.858,1.497
"Combat Service Support","Army National Guard","Female",70.8,0.889,1.612
"Combat Service Support","Army National Guard","Female",69.8,0.757,1.69
"Combat Service Support","Army National Guard","Female",65.4,0.828,1.634
"Combat Service Support","Army National Guard","Female",54.2,0.82,1.509
"Combat Service Support","Regular Army","Female",59.3,0.739,1.582
"Combat Service Support","Regular Army","Female",49.7,0.789,1.465
"Combat Support","Regular Army","Female",52.6,0.733,1.545
"Combat Service Support","Regular Army","Female",48,0.74,1.475
"Combat Service Support","Regular Army","Female",55.7,0.808,1.633
"Combat Service Support","Regular Army","Female",72.4,0.967,1.631
"Combat Service Support","Regular Army","Female",66.1,0.909,1.626
"Combat Service Support","Regular Army","Female",79.4,0.962,1.533
"Combat Service Support","Army Reserve","Female",57.2,0.834,1.553
"Combat Service Support","Army Reserve","Female",78.5,0.948,1.752
"Combat Service Support","Army Reserve","Female",67.6,0.848,1.618
"Combat Service Support","Army Reserve","Female",53,0.721,1.634
"Combat Service Support","Regular Army","Female",77.7,0.865,1.689
"Combat Service Support","Army Reserve","Female",52.4,0.793,1.534
"Combat Service Support","Regular Army","Female",60.1,0.731,1.629
"Combat Service Support","Regular Army","Female",55.9,0.75,1.628
"Combat Service Support","Regular Army","Female",53,0.744,1.603
"Combat Service Support","Army Reserve","Female",57.8,0.78,1.547
"Combat Service Support","Army National Guard","Female",64.4,0.86,1.585
"Combat Service Support","Army National Guard","Female",69.3,0.9,1.638
"Combat Service Support","Army National Guard","Female",84.9,0.955,1.754
"Combat Service Support","Army Reserve","Female",60.7,0.753,1.623
"Combat Service Support","Regular Army","Female",62.3,0.825,1.614
"Combat Service Support","Regular Army","Female",60.1,0.774,1.676
"Combat Service Support","Regular Army","Female",51.6,0.679,1.56
"Combat Service Support","Regular Army","Female",50.5,0.716,1.637
"Combat Service Support","Regular Army","Female",53.2,0.699,1.542
"Combat Service Support","Army National Guard","Female",56.6,0.814,1.536
"Combat Arms","Army National Guard","Female",73.2,0.853,1.613
"Combat Service Support","Army National Guard","Female",57.6,0.783,1.595
"Combat Support","Regular Army","Female",80.7,0.86,1.659
"Combat Service Support","Army National Guard","Female",62.2,0.75,1.564
"Combat Service Support","Regular Army","Female",72.6,0.96,1.686
"Combat Service Support","Army National Guard","Female",71.1,0.873,1.678
"Combat Service Support","Regular Army","Female",57.2,0.923,1.573
"Combat Service Support","Regular Army","Female",62.3,0.791,1.589
"Combat Service Support","Army National Guard","Female",60.2,0.771,1.621
"Combat Service Support","Regular Army","Female",80.5,0.983,1.679
"Combat Service Support","Regular Army","Female",56.1,0.787,1.598
"Combat Service Support","Regular Army","Female",52,0.657,1.713
"Combat Arms","Regular Army","Female",57.8,0.781,1.55
"Combat Service Support","Army National Guard","Female",58,0.74,1.583
"Combat Service Support","Regular Army","Female",61.2,0.819,1.54
"Combat Service Support","Regular Army","Female",58.5,0.805,1.541
"Combat Service Support","Regular Army","Female",87.5,1.01,1.622
"Combat Service Support","Regular Army","Female",77.3,0.905,1.793
"Combat Support","Regular Army","Female",75.5,0.92,1.713
"Combat Service Support","Regular Army","Female",67.8,0.924,1.603
"Combat Support","Regular Army","Female",88.8,1.003,1.711
"Combat Service Support","Regular Army","Female",66.5,0.78,1.641
"Combat Service Support","Regular Army","Female",58,1.003,1.494
"Combat Support","Regular Army","Female",66.5,0.863,1.672
"Combat Support","Army National Guard","Female",64.9,0.856,1.616
"Combat Support","Regular Army","Female",67.3,0.902,1.585
"Combat Support","Regular Army","Female",74.4,1.01,1.612
"Combat Service Support","Regular Army","Female",57.6,0.759,1.663
"Combat Service Support","Regular Army","Female",73.5,0.893,1.656
"Combat Service Support","Regular Army","Female",63.6,0.844,1.598
"Combat Support","Regular Army","Female",43.2,0.665,1.545
"Combat Support","Regular Army","Female",74.7,0.93,1.634
"Combat Service Support","Regular Army","Female",66.9,0.807,1.704
"Combat Service Support","Regular Army","Female",82.6,0.957,1.664
"Combat Service Support","Regular Army","Female",57.8,0.868,1.522
"Combat Support","Regular Army","Female",63.7,0.782,1.646
"Combat Service Support","Regular Army","Female",75.8,0.966,1.557
"Combat Service Support","Army National Guard","Female",59.4,0.778,1.625
"Combat Service Support","Regular Army","Female",87.2,0.98,1.671
"Combat Service Support","Regular Army","Female",69.3,0.85,1.535
"Combat Service Support","Regular Army","Female",50,0.67,1.591
"Combat Service Support","Regular Army","Female",56.7,0.745,1.567
"Combat Service Support","Regular Army","Female",58.9,0.826,1.54
"Combat Service Support","Army Reserve","Female",64,0.86,1.573
"Combat Service Support","Regular Army","Female",68.3,0.797,1.637
"Combat Service Support","Regular Army","Female",56.6,0.706,1.604
"Combat Service Support","Regular Army","Female",63.2,0.73,1.74
"Combat Service Support","Army National Guard","Female",59.1,0.743,1.563
"Combat Service Support","Army National Guard","Female",76,0.805,1.773
"Combat Service Support","Army National Guard","Female",66.4,0.912,1.672
"Combat Service Support","Army National Guard","Female",65.8,0.853,1.564
"Combat Service Support","Army National Guard","Female",71,0.847,1.6
"Combat Support","Army National Guard","Female",55.1,0.726,1.586
"Combat Support","Army National Guard","Female",59.3,0.795,1.566
"Combat Arms","Army National Guard","Female",66.1,0.837,1.683
"Combat Service Support","Army National Guard","Female",65.8,0.816,1.613
"Combat Service Support","Army National Guard","Female",63.4,0.814,1.572
"Combat Service Support","Army National Guard","Female",48,0.693,1.584
"Combat Service Support","Army National Guard","Female",66,0.798,1.706
"Combat Service Support","Army National Guard","Female",60.1,0.807,1.62
"Combat Support","Army National Guard","Female",54.6,0.778,1.64
"Combat Service Support","Army National Guard","Female",116.6,1.305,1.711
"Combat Service Support","Army National Guard","Female",79.3,0.919,1.641
"Combat Support","Army National Guard","Female",45.4,0.611,1.567
"Combat Service Support","Army National Guard","Female",49.9,0.698,1.629
"Combat Service Support","Army National Guard","Female",35.8,0.615,1.479
"Combat Service Support","Army National Guard","Female",70,0.859,1.663
"Combat Service Support","Army National Guard","Female",77,0.887,1.749
"Combat Service Support","Army National Guard","Female",64.9,0.911,1.592
"Combat Service Support","Army National Guard","Female",55,0.733,1.591
"Combat Service Support","Army National Guard","Female",87.5,0.979,1.71
"Combat Service Support","Army National Guard","Female",76.8,0.968,1.684
"Combat Service Support","Army National Guard","Female",76.3,0.941,1.625
"Combat Service Support","Army National Guard","Female",65,0.732,1.666
"Combat Service Support","Army National Guard","Female",55.5,0.76,1.576
"Combat Service Support","Army National Guard","Female",75.5,0.905,1.685
"Combat Service Support","Army National Guard","Female",54.8,0.715,1.629
"Combat Arms","Army National Guard","Female",70.5,0.878,1.637
"Combat Support","Army National Guard","Female",54.8,0.788,1.597
"Combat Support","Army National Guard","Female",76.3,0.903,1.676
"Combat Support","Army National Guard","Female",78.4,0.87,1.672
"Combat Support","Army National Guard","Female",69.8,0.848,1.707
"Combat Arms","Army National Guard","Female",65,0.825,1.649
"Combat Arms","Army National Guard","Female",79.4,0.955,1.615
"Combat Arms","Army National Guard","Female",89.7,1.105,1.629
"Combat Arms","Army National Guard","Female",52.5,0.785,1.615
"Combat Support","Army National Guard","Female",77.2,0.972,1.537
"Combat Service Support","Army National Guard","Female",65.7,0.793,1.663
"Combat Service Support","Army National Guard","Female",53.7,0.798,1.582
"Combat Service Support","Army National Guard","Female",66.7,0.955,1.499
"Combat Service Support","Army National Guard","Female",83.3,0.92,1.771
"Combat Service Support","Army National Guard","Female",59.9,0.855,1.545
"Combat Service Support","Army National Guard","Female",64.9,0.914,1.603
"Combat Service Support","Army National Guard","Female",78.8,0.938,1.58
"Combat Service Support","Army National Guard","Female",75.2,0.96,1.608
"Combat Service Support","Army National Guard","Female",64.3,0.9,1.561
"Combat Service Support","Army National Guard","Female",61.3,0.78,1.642
"Combat Service Support","Army National Guard","Female",84.7,0.935,1.6
"Combat Service Support","Army National Guard","Female",68.7,0.89,1.591
"Combat Service Support","Army National Guard","Female",69.7,0.821,1.697
"Combat Service Support","Army National Guard","Female",60.2,0.793,1.691
"Combat Service Support","Army National Guard","Female",63.1,0.775,1.563
"Combat Service Support","Army National Guard","Female",95.2,1.034,1.598
"Combat Service Support","Army National Guard","Female",51.3,0.664,1.631
"Combat Service Support","Army National Guard","Female",69.4,0.907,1.648
"Combat Service Support","Army National Guard","Female",50.9,0.768,1.496
"Combat Service Support","Army National Guard","Female",52,0.672,1.522
"Combat Support","Army National Guard","Female",88.9,0.965,1.769
"Combat Support","Army National Guard","Female",78.5,0.784,1.761
"Combat Support","Army National Guard","Female",67.8,0.903,1.618
"Combat Support","Army National Guard","Female",64.4,0.841,1.612
"Combat Support","Army National Guard","Female",65.7,0.87,1.653
"Combat Service Support","Army National Guard","Female",66.1,0.852,1.598
"Combat Support","Army National Guard","Female",92.5,0.993,1.77
"Combat Support","Army National Guard","Female",61.1,0.866,1.566
"Combat Support","Army National Guard","Female",61.1,0.757,1.668
"Combat Service Support","Army National Guard","Female",79.7,0.907,1.614
"Combat Support","Army National Guard","Female",68.2,0.853,1.673
"Combat Support","Army National Guard","Female",48.9,0.779,1.588
"Combat Service Support","Army National Guard","Female",66.9,0.926,1.534
"Combat Service Support","Army National Guard","Female",61.7,0.825,1.49
"Combat Service Support","Army National Guard","Female",70.6,0.938,1.611
"Combat Support","Army National Guard","Female",61.1,0.755,1.599
"Combat Service Support","Army National Guard","Female",66.2,0.867,1.645
"Combat Service Support","Army National Guard","Female",53.2,0.784,1.571
"Combat Support","Army National Guard","Female",61.6,0.753,1.657
"Combat Support","Army National Guard","Female",73.7,0.914,1.641
"Combat Support","Army National Guard","Female",65.7,0.826,1.71
"Combat Support","Army National Guard","Female",67.1,0.875,1.674
"Combat Support","Army National Guard","Female",83.1,1.095,1.561
"Combat Support","Army National Guard","Female",86.6,1.076,1.664
"Combat Support","Army National Guard","Female",105.4,1.087,1.743
"Combat Service Support","Army National Guard","Female",92,1.011,1.681
"Combat Service Support","Army National Guard","Female",61.7,0.931,1.498
"Combat Support","Army National Guard","Female",77.2,0.888,1.595
"Combat Support","Army National Guard","Female",77.7,0.971,1.771
"Combat Support","Army National Guard","Female",80.2,1.015,1.585
"Combat Support","Army National Guard","Female",95.3,0.995,1.819
"Combat Service Support","Army National Guard","Female",87,1.067,1.683
"Combat Support","Army National Guard","Female",73,0.853,1.686
"Combat Service Support","Army National Guard","Female",87.7,0.937,1.703
"Combat Support","Army National Guard","Female",82.3,0.967,1.707
"Combat Support","Army National Guard","Female",83.1,1.112,1.678
"Combat Service Support","Army National Guard","Female",59.9,0.7,1.646
"Combat Service Support","Army National Guard","Female",72.5,0.907,1.676
"Combat Service Support","Army National Guard","Female",63,0.81,1.703
"Combat Service Support","Army National Guard","Female",62.3,0.9,1.609
"Combat Service Support","Army National Guard","Female",82.1,0.935,1.636
"Combat Service Support","Army National Guard","Female",62.4,0.858,1.625
"Combat Support","Army National Guard","Female",56.7,0.79,1.615
"Combat Support","Army National Guard","Female",67.5,0.96,1.603
"Combat Service Support","Army National Guard","Female",62.3,0.778,1.641
"Combat Service Support","Army National Guard","Female",64.4,0.791,1.697
"Combat Service Support","Army National Guard","Female",62.6,0.838,1.571
"Combat Service Support","Army National Guard","Female",71.3,0.845,1.548
"Combat Service Support","Army National Guard","Female",63,0.799,1.633
"Combat Service Support","Army National Guard","Female",82,0.922,1.667
"Combat Service Support","Army National Guard","Female",76.2,0.956,1.584
"Combat Support","Army National Guard","Female",69.7,0.843,1.642
"Combat Service Support","Army National Guard","Female",91,1.064,1.736
"Combat Service Support","Army National Guard","Female",80.1,0.957,1.671
"Combat Service Support","Army National Guard","Female",68.3,0.82,1.595
"Combat Support","Army National Guard","Female",76.9,0.875,1.716
"Combat Support","Army National Guard","Female",60.1,0.768,1.574
"Combat Service Support","Army National Guard","Female",82.1,1.073,1.61
"Combat Service Support","Army National Guard","Female",84.2,0.913,1.643
"Combat Service Support","Army National Guard","Female",79.1,0.959,1.697
"Combat Support","Army National Guard","Female",57.5,0.84,1.501
"Combat Service Support","Army National Guard","Female",56.8,0.787,1.632
"Combat Service Support","Army National Guard","Female",72,0.893,1.654
"Combat Service Support","Army National Guard","Female",52.1,0.706,1.571
"Combat Service Support","Army National Guard","Female",68.9,0.85,1.596
"Combat Service Support","Army National Guard","Female",65.2,0.796,1.589
"Combat Support","Army National Guard","Female",82.7,1.01,1.65
"Combat Service Support","Army National Guard","Female",66.2,0.91,1.611
"Combat Service Support","Army National Guard","Female",71.5,1.013,1.632
"Combat Support","Army National Guard","Female",97.3,1.046,1.729
"Combat Support","Army National Guard","Female",45,0.65,1.533
"Combat Support","Army National Guard","Female",50.4,0.72,1.611
"Combat Support","Army National Guard","Female",57.7,0.747,1.65
"Combat Support","Army National Guard","Female",56.2,0.867,1.473
"Combat Support","Army National Guard","Female",72.8,0.81,1.7
"Combat Support","Army National Guard","Female",72.2,0.807,1.692
"Combat Service Support","Army National Guard","Female",56,0.738,1.611
"Combat Service Support","Army National Guard","Female",82.4,0.92,1.734
"Combat Service Support","Army National Guard","Female",82.5,0.918,1.692
"Combat Service Support","Army National Guard","Female",99.5,1.093,1.647
"Combat Service Support","Army National Guard","Female",98.8,1.14,1.599
"Combat Service Support","Army National Guard","Female",81.5,1.017,1.614
"Combat Service Support","Army National Guard","Female",72.3,0.945,1.549
"Combat Service Support","Army National Guard","Female",73.6,0.868,1.634
"Combat Service Support","Army National Guard","Female",69.8,0.805,1.76
"Combat Arms","Army National Guard","Female",76.6,0.944,1.683
"Combat Service Support","Army National Guard","Female",65.1,0.814,1.618
"Combat Service Support","Army National Guard","Female",51.8,0.735,1.565
"Combat Service Support","Army National Guard","Female",54.9,0.814,1.592
"Combat Service Support","Army National Guard","Female",57.6,0.787,1.636
"Combat Service Support","Army National Guard","Female",58.3,0.808,1.538
"Combat Service Support","Army National Guard","Female",67,0.822,1.648
"Combat Service Support","Army National Guard","Female",63.1,0.801,1.645
"Combat Service Support","Army National Guard","Female",62.7,0.842,1.623
"Combat Service Support","Army National Guard","Female",67.6,0.844,1.611
"Combat Service Support","Army National Guard","Female",53.4,0.747,1.602
"Combat Service Support","Army National Guard","Female",74.8,0.873,1.67
"Combat Service Support","Army National Guard","Female",64.4,0.757,1.643
"Combat Support","Army National Guard","Female",67.7,0.854,1.628
"Combat Service Support","Army National Guard","Female",62,0.778,1.575
"Combat Service Support","Army National Guard","Female",53.6,0.713,1.613
"Combat Service Support","Army National Guard","Female",59.9,0.771,1.598
"Combat Support","Army National Guard","Female",64.4,0.857,1.61
"Combat Service Support","Army National Guard","Female",53.6,0.739,1.597
"Combat Service Support","Army National Guard","Female",88.2,0.972,1.59
"Combat Service Support","Army National Guard","Female",64.6,0.84,1.688
"Combat Service Support","Army National Guard","Female",66.2,0.878,1.502
"Combat Service Support","Army National Guard","Female",69.8,0.788,1.593
"Combat Service Support","Army National Guard","Female",67.7,0.895,1.607
"Combat Service Support","Army National Guard","Female",58.6,0.74,1.625
"Combat Service Support","Army National Guard","Female",52.6,0.767,1.525
"Combat Service Support","Army National Guard","Female",56.4,0.797,1.563
